Date,Market Cap,Volume,Open,Close
2023-12-12,$185,467,811,$34,680,085,$6.18,N/A
2023-12-11,$206,224,484,$30,835,257,$6.86,$6.18
2023-12-10,$201,103,982,$34,324,519,$6.72,$6.86
2023-12-09,$209,307,864,$31,699,416,$6.99,$6.72
2023-12-08,$205,617,824,$34,322,132,$6.86,$6.99
2023-12-07,$196,221,892,$33,493,333,$6.54,$6.86
2023-12-06,$197,296,427,$41,689,212,$6.60,$6.54
2023-12-05,$205,003,163,$35,310,472,$6.85,$6.60
2023-12-04,$194,329,911,$21,988,073,$6.47,$6.85
2023-12-03,$198,806,308,$14,288,808,$6.67,$6.47
2023-12-02,$189,130,118,$10,120,303,$6.36,$6.67
2023-12-01,$190,194,697,$11,485,418,$6.36,$6.36
2023-11-30,$187,056,777,$12,044,669,$6.26,$6.36
2023-11-29,$187,722,857,$27,110,693,$6.28,$6.26
2023-11-28,$186,087,872,$30,240,570,$6.26,$6.28
2023-11-27,$190,441,568,$22,589,510,$6.38,$6.26
2023-11-26,$199,426,677,$23,455,765,$6.68,$6.38
2023-11-25,$192,637,460,$24,593,388,$6.46,$6.68
2023-11-24,$192,538,122,$21,571,448,$6.47,$6.46
2023-11-23,$192,004,832,$30,239,028,$6.46,$6.47
2023-11-22,$188,163,504,$31,118,828,$6.31,$6.46
2023-11-21,$205,931,743,$25,727,614,$6.94,$6.31
2023-11-20,$213,938,881,$24,458,367,$7.16,$6.94
2023-11-19,$203,966,323,$34,365,573,$6.87,$7.16
2023-11-18,$206,833,313,$47,643,816,$6.96,$6.87
2023-11-17,$218,541,032,$51,912,384,$7.36,$6.96
2023-11-16,$219,847,630,$57,149,802,$7.40,$7.36
2023-11-15,$207,862,899,$44,485,446,$6.99,$7.40
2023-11-14,$201,367,234,$48,854,621,$6.78,$6.99
2023-11-13,$207,352,991,$46,722,804,$7.00,$6.78
2023-11-12,$201,611,168,$51,249,392,$6.82,$7.00
